talk_id,title,speaker,recorded_date,published_date,event,duration,views,likes
83167.0,A tailored history of who wears what -- and why,Richard Thompson Ford,2021-09-29,2021-11-04,TED@BCG,663.0,1684741.0,50000.0
83205.0,The creative power of your intuition,Bozoma Saint John,2021-08-01,2021-11-05,TEDMonterey,731.0,1841672.0,55000.0
81731.0,What working parents really need from workplaces,Angela Garbes,2021-11-01,2021-11-08,The Way We Work,291.0,1733270.0,51000.0
83413.0,"Super speed, magnetic levitation and the vision behind the hyperloop",Josh Giegel,2021-08-01,2021-11-08,TEDMonterey,516.0,1720647.0,51000.0
82003.0,How did we get fertility so wrong?,Mona Chalabi,2021-11-09,2021-11-09,Am I Normal? with Mona Chalabi,177.0,343745.0,10000.0
83536.0,Why do some people snore so loudly?,Alayna Vaughan,2021-11-09,2021-11-09,TED-Ed,260.0,461366.0,13000.0
83359.0,How small countries can make a big impact on climate change,Nicola Sturgeon,2021-10-12,2021-11-09,Countdown Summit,554.0,1682928.0,50000.0
82179.0,A vision for sustainable energy in Africa,Chibeze Ezekiel,2021-10-12,2021-11-10,Countdown Summit,413.0,955132.0,28000.0
81787.0,Why better sleep means a better sex life,Matt Walker,2021-11-10,2021-11-10,Sleeping with Science,132.0,575169.0,17000.0
83540.0,"How your brain invents your ""self""",Anil Seth,2021-10-19,2021-11-10,TED Membership,1390.0,2085399.0,62000.0
82299.0,"""Being Human""",Naima Penniman,2021-10-12,2021-11-10,Countdown Summit,242.0,1699788.0,50000.0
82093.0,A bold plan to protect 30 percent of the Earth's surface and ocean floor,Enric Sala,2021-10-13,2021-11-10,Countdown Summit,551.0,1465349.0,43000.0
82058.0,The powerful women on the front lines of climate action,Farwiza Farhan,2021-10-13,2021-11-10,Countdown Summit,433.0,1494638.0,44000.0
83530.0,The many reasons to eat a plant-based diet,Derek Sarno,2021-10-30,2021-11-10,Countdown Summit,253.0,1589281.0,47000.0
83531.0,Leave only footprints that will wash away,Children of Palau,2021-10-15,2021-11-10,Countdown Summit,180.0,249260.0,7400.0
83495.0,The twins who tricked the Maya gods of death,Ilan Stavans,2021-11-11,2021-11-11,TED-Ed,277.0,1317392.0,39000.0
83538.0,The rise of predatory scams -- and how to prevent them,Jane Walsh,2021-06-26,2021-11-11,TEDxMileHigh,836.0,1810641.0,54000.0
83178.0,Tracking the whole world's carbon emissions -- with satellites and AI,Gavin McCormick,2021-10-12,2021-11-12,Countdown Summit,674.0,1760915.0,52000.0
81733.0,3 steps to getting what you want in a negotiation,Ruchi Sinha,2021-11-15,2021-11-15,The Way We Work,300.0,2502689.0,75000.0
83179.0,How to make a sad story funny,Jodie Houlston-Lau,2021-11-16,2021-11-16,TED-Ed,259.0,389511.0,11000.0
82004.0,Which box do I check?,Mona Chalabi,2021-11-16,2021-11-16,Am I Normal? with Mona Chalabi,198.0,287812.0,8600.0
83420.0,The crucial intersection of climate and capital,Nili Gilbert,2021-10-12,2021-11-16,Countdown Summit,597.0,1731646.0,51000.0
